"","author","status","id"
"141","BorisJohnson","Welcome news that rough sleeping has gone down by 43% since 2018 - but we won't rest until everyone in this country has a place to call home. 

We are continuing to work with councils &amp; charities, providing £750m for programmes over the next year to end rough sleeping.",141
"142","BorisJohnson","This fair and flexible system will ensure all young people can progress to the next stage of their education or career. 

https://t.co/6v8ENoHPhy",142
"143","BorisJohnson","No child should be left behind as a result of learning lost during the pandemic. That’s why students will receive grades awarded and determined by teachers.",143
"144","BorisJohnson","Great to speak to @NOIweala and congratulate her on her appointment. The @WTO has a vital role to play in  championing free and fair trade as the world builds back better and greener from COVID-19.",144
"145","BorisJohnson","All countries need access to coronavirus vaccines, so it is fantastic to see the first doses from COVAX arriving in Ghana today.
 
I'm proud that the UK is one of the largest contributors to COVAX and that we will share the majority of any future surplus vaccines with the scheme. https://t.co/lvrQkLZ1dw",145
"146","BorisJohnson","Over 18 million people across the United Kingdom have had their first jab. 
 
We are aiming to offer a jab to all adults aged 50 or older and those who are at higher risk due to underlying health conditions by 15 April and every adult by the end of July. https://t.co/dMMX2DfJsA",146
"147","BorisJohnson","It’s been great hearing about the issues that matter to you.
 
Please keep asking me your questions at https://t.co/FBynuacYFP https://t.co/nn5OGHIEEL",147
"148","BorisJohnson","Thank you to the teachers and students at @SedgehillSch – and to schools all across the country - for all you have been doing throughout the pandemic.",148
"149","BorisJohnson","The best place for young people’s future, and for their wellbeing, is back in the classroom. 

With regular testing, children can safely return to school from 8 March. https://t.co/1TD7OSG8I8",149
"150","BorisJohnson","When schools re-open on 8 March, I want to make sure no child is left behind as a result of the learning they have lost over the past year.

A new £700m package of catch-up funding will help teachers support their pupils as they return to the classroom.

https://t.co/SX37ryPipF",150
